,hobby,id,count,1,0,title,,,
1,1235191,41774,650,358,390,神代梦华谭 尼德霍格,0.6,390,390
2,1294745,42480,165,91,99,狐妖小红娘 涂山容容,0.6,99,99
3,1344314,42854,655,361,393,少女前线 李・恩菲尔德 毕生守护Ver.,0.6,393,393
4,1350866,42887,380,209,228,NIYA Transparent NIYA,0.6,228,228
5,1350930,42889,18,10,11,执剑之刻 德川光国,0.6,11,10.8
6,1350944,42890,14,8,9,非人哉 风火哪吒,0.6,9,8.4
7,1351132,42891,56,31,34,狐妖小红娘 涂山苏苏,0.6,34,33.6
8,1351147,42892,12,7,8,侍魂 橘右京,0.6,8,7.2
9,1626906,44066,64,36,39,永远的7日之都 珈儿,0.6,39,38.4
10,1626934,44067,480,264,288,明日方舟 阿米娅,0.6,288,288
11,1629715,44456,9,5,6,拳皇 八神庵,0.6,6,5.4
12,1664396,44127,90,50,54,圣传-RG VEDA- 孔雀,0.6,54,54
13,2201454,56458,9,5,6,狐妖小红娘系列盒蛋-王权富贵,0.6,6,5.4
14,2281218,45792,49,27,30,哑舍 老板,0.6,30,29.4
15,2627915,46667,415,229,249,某科学的超电磁炮 御坂美琴,0.6,249,249
16,2674509,46956,39,22,24,Muse Dash 布诺 飞行员ver.,0.6,24,23.4
17,278936,40006,228,126,137,狐妖小红娘 涂山雅雅,0.6,137,136.8
18,2813768,47455,12,7,8,ACTOYS 非人哉系列 盒蛋,0.6,8,7.2
19,284042,40008,40,22,24,一人之下 张灵玉,0.6,24,24
20,2848103,47513,14,8,9,黑白无双 延魉 婚纱Ver,0.6,9,8.4
21,2972200,48228,29,16,18,狐妖小红娘 王权富贵,0.6,18,17.4
22,3129064,49023,64,36,39,黑暗之魂系列盒蛋,0.6,39,38.4
23,3222093,49184,6,4,4,喵喵满袋 摇摆铃铛 第二弹,0.6,4,3.6
24,3223302,49248,5,3,3,喵喵满袋 摇摆铃铛 第一弹,0.6,3,3
25,3520414,50087,31,18,19,明日方舟 棋子系列① 凯尔希,0.6,19,18.6
26,3520452,50088,51,29,31,明日方舟 棋子系列① 阿米娅,0.6,31,30.6
27,3520473,50089,27,15,17,明日方舟 棋子系列① 陈,0.6,17,16.2
28,3537948,50194,363,200,218,狐妖小红娘 涂山苏苏 甜蜜再会Ver.,0.6,218,217.8
29,3539806,50195,28,16,17,非人哉 九月 伦敦假日,0.6,17,16.8
30,3544842,50198,190,105,114,明日方舟 拉普兰德,0.6,114,114
31,3619835,56312,15,9,9,狐妖小红娘系列盒蛋-涂山雅雅,0.6,9,9
32,3712022,50412,2,2,2,喵喵满袋 午睡时光,0.6,2,1.2
33,3862859,50729,79,44,48,洛天依水手服系列盒蛋,0.6,48,47.4
34,4202489,51867,16,9,10,狐妖小红娘系列盒蛋-东方月初,0.6,10,9.6
35,5008249,55333,14,8,9,短笛的小仓鼠系列盒蛋,0.6,9,8.4
36,5271837,57027,13,8,8,狐妖小红娘系列盒蛋-涂山苏苏,0.6,8,7.8
37,5271892,57028,16,9,10,狐妖小红娘系列盒蛋-涂山红红,0.6,10,9.6
38,6538859,60179,22,13,14,狐妖小红娘 东方月初,0.6,14,13.2
39,6663933,60720,6,4,4,非人哉 小玉,0.6,4,3.6
40,6663983,60721,59,33,36,狐妖小红娘 涂山苏苏 手游版,0.6,36,35.4
41,7460900,62660,2,2,2,一人之下 颜艺盒蛋,0.6,2,1.2
42,8523811,64829,15,9,9,只狼：影逝二度 系列盒蛋,0.6,9,9
43,9049855,66162,6,4,4,太鼓达人 中国之旅,0.6,4,3.6
44,9420759,67073,172,95,104,少女前线 95式 洋桔梗与她的季节Ver.,0.6,104,103.2
45,9430603,67086,78,43,47,来古弥新 蝠桃瓶,0.6,47,46.8
46,9430817,67088,17,10,11,茉莉,0.6,11,10.2
47,9431941,67094,8,5,5,黑暗之魂系列盒蛋 无名王者,0.6,5,4.8
48,9432199,67095,19,11,12,黑暗之魂系列盒蛋 第二弹,0.6,12,11.4
49,9432312,67096,7,4,5,黑暗之魂系列盒蛋 SP 面对深渊,0.6,5,4.2
50,9432536,67097,3,2,2,只狼：影逝二度系列盒蛋 魁忍 猫头鹰,0.6,2,1.8
51,943279,38273,121,67,73,22娘 海军风.Ver,0.6,73,72.6
52,943300,38274,107,59,65,33娘 海军风.Ver,0.6,65,64.2
53,960905,38628,685,377,411,狐妖小红娘 涂山红红,0.6,411,411
54,969816,39023,202,112,122,一人之下 冯宝宝,0.6,122,121.2
